This file was created using the 202606 CRSP database.
It contains value- and equally-weighted returns for  10 prior return portfolios.

The portfolios are constructed daily.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19330429,   5.50,   6.81,   6.17,   7.93,   6.23,   6.56,   7.42,   7.02,   8.24,   8.77
19330501,   6.58,   5.92,   3.62,   4.80,   2.94,   3.54,   2.12,   2.70,   0.56,   2.55
19330502,   1.57,  -0.45,   2.19,  -3.24,   3.21,   0.89,  -0.66,   1.75,   4.18,   1.99
19330503,   4.96,   2.67,   1.95,   1.66,   0.18,   3.14,   0.64,   1.76,   2.46,  -0.84
19330504,   5.62,   4.91,   4.77,   5.25,   3.57,   4.26,   3.17,   3.03,   4.18,   1.67
19330505,   4.91,   6.71,   4.04,   5.21,   2.62,   5.65,   1.42,   0.99,   3.49,   1.89
19330506,  -1.48,  -1.84,   0.06,  -0.97,  -2.48,  -2.43,  -2.16,  -2.96,  -2.17,  -3.60
19330508,   1.75,   0.45,  -1.34,  -0.51,  -1.50,   0.94,  -1.27,  -1.20,  -0.75,  -1.07
19330509,  -2.90,  -0.95,  -2.36,  -0.97,  -0.11,  -1.81,  -1.10,   0.16,   1.13,  -0.84
19330510,   4.87,   7.11,   5.06,   7.43,   6.19,   7.85,   5.79,   6.38,   6.52,   7.22
19330511,   6.57,   5.41,   4.63,   3.75,   4.75,   5.25,   7.21,   4.86,   4.91,   5.75
19330512,   3.38,   0.98,   2.34,   1.25,  -0.01,   1.39,   2.01,  -0.03,   0.39,   1.42
19330513,   5.71,   2.01,   0.62,   0.63,  -0.44,   0.08,  -0.74,  -1.46,  -1.09,  -1.71
19330515,   2.55,   1.03,   1.41,   2.37,   2.84,   0.83,   1.52,   0.12,   0.80,   0.46
19330516,   2.31,   5.20,   2.33,   3.42,   2.39,   4.79,   2.61,   2.01,   4.94,   6.44
19330517,  10.56,   5.10,   3.69,   3.03,   2.86,   3.39,   3.34,   4.61,   2.45,   2.09
19330518,   1.58,  -0.23,   1.17,   0.55,   1.50,  -0.36,   0.47,   1.77,   0.80,   0.18
19330519,   2.73,   0.65,   3.66,   0.40,   1.04,   0.51,  -0.19,  -0.38,   0.60,   0.79
19330520,  -1.67,  -1.15,  -2.25,  -2.40,  -2.36,  -0.81,  -1.88,  -2.66,  -2.29,  -1.77
19330522,  -3.42,   0.93,  -1.44,  -0.79,  -0.21,  -0.95,  -1.13,  -0.51,  -1.64,  -0.53
19330523,   5.93,   4.81,   4.07,   4.86,   6.38,   3.63,   4.25,   5.77,   6.48,   5.49
19330524,   1.55,   2.75,   2.61,   4.06,   3.64,   3.39,   2.42,   3.03,   3.31,   3.75
19330525,  -0.18,   0.68,   0.27,  -0.76,   5.21,   0.40,  -0.91,  -0.40,  -0.51,  -2.95
19330526,   0.12,   1.15,   3.33,   4.46,   3.27,   4.22,   2.54,   2.04,   5.13,   4.32
19330527,   3.45,   2.82,   3.50,   4.15,   4.34,   4.51,   3.32,   3.90,   5.86,   5.38
19330529,   4.44,   3.45,   5.41,   4.61,   4.11,   1.85,   3.12,   2.98,   4.84,   4.80
19330531,   1.35,   1.50,   0.63,   1.32,   0.42,   1.40,  -1.56,   0.17,   0.62,   1.18
19330601,   3.30,   1.95,   3.46,   1.44,   1.83,   4.90,   1.21,   3.70,   1.16,   4.59
19330602,   5.96,   3.88,   3.83,   5.09,   4.79,   5.48,   5.95,   5.00,   6.13,   8.56
19330603,   4.60,  -0.37,  -1.44,  -1.09,  -1.67,  -1.92,  -1.57,  -2.03,  -2.33,  -2.40
19330605,   4.51,   3.92,   2.34,   3.47,   2.14,   1.95,   3.21,   2.12,   4.29,   3.43
19330606,   5.28,   0.88,   1.34,  -0.68,   2.10,   0.34,   0.77,   1.36,   2.09,   0.29
19330607,   6.94,   3.56,   3.43,   1.89,   3.02,   3.69,   2.70,   2.17,   3.78,   2.46
19330608,   1.46,   0.97,   0.04,   0.75,   1.71,   0.02,   0.42,  -0.87,   0.62,   0.96
19330609,  -1.21,   1.13,   2.67,  -0.63,   0.19,   0.93,  -0.50,   1.42,  -0.32,  -1.75
19330610,   1.44,   0.68,   0.49,   1.20,   0.46,   1.41,   1.61,   0.01,   0.29,   1.49
19330612,   2.07,   3.70,   4.11,   3.42,   4.18,   2.84,   3.37,   3.66,   2.71,   3.63
19330613,  -1.12,  -1.11,  -1.65,  -0.65,  -0.94,  -1.92,  -1.00,  -2.30,  -2.22,  -2.13
19330614,  -4.83,  -4.55,  -2.39,  -3.15,  -3.51,  -3.04,  -3.88,  -3.26,  -2.85,  -4.26
19330615,  -4.71,  -6.50,  -6.17,  -6.41,  -5.82,  -6.65,  -5.36,  -7.18,  -6.61,  -6.28
19330616,  -5.04,  -2.99,  -1.70,  -2.27,  -2.90,  -3.45,  -1.11,  -2.66,  -1.92,  -2.75
19330617,   2.36,   3.31,   3.13,   4.34,   3.02,   4.02,   3.92,   3.89,   7.51,   4.80
19330619,  10.69,   9.88,   9.78,   9.40,   8.75,   8.47,  11.17,  10.98,  13.23,  12.26
19330620,   0.33,  -1.03,  -1.76,  -1.20,  -1.17,   0.34,   0.68,  -0.42,  -0.43,  -0.56
19330621,   1.86,   0.39,   0.96,   1.49,   1.03,   0.83,  -0.69,   1.16,   1.82,   4.73
19330622,  -3.72,  -4.86,  -2.60,  -4.05,  -2.75,  -3.70,  -3.88,  -3.81,  -6.10,  -5.70
19330623,   0.27,   3.10,   3.35,   1.97,   2.53,   0.63,   3.20,   2.87,   3.09,   3.46
19330624,   0.40,   1.63,   0.83,   0.01,   1.70,   1.32,   1.43,   0.84,   1.52,   1.73
19330626,   1.48,   2.62,   3.24,   2.83,   2.81,   2.23,   2.06,   2.14,   4.18,   3.78
19330627,   1.30,   1.59,  -0.19,   0.38,   2.64,   2.25,   3.89,   1.26,   0.93,   0.69
19330628,  -1.93,  -1.25,  -0.09,  -1.12,  -1.32,  -0.85,  -3.66,  -2.51,  -1.53,  -1.47
19330629,   4.54,  -2.20,  -0.59,   0.64,  -0.57,  -0.04,  -1.86,   0.91,   0.50,  -1.50
19330630,   2.06,   1.46,   1.09,   1.76,   2.40,   2.33,  -0.17,   1.60,   2.44,   2.17
19330701,   2.80,   2.59,   2.32,   3.66,   3.99,   2.14,   4.01,   4.30,   4.76,   3.03
19330703,   3.52,   4.13,   3.99,   4.22,   3.73,   4.41,   3.27,   3.16,   4.06,   5.60
19330705,   1.30,  -0.91,  -0.13,  -0.02,   1.22,   0.17,  -0.15,   0.21,  -1.24,  -0.47
19330706,   5.36,   4.99,   3.38,   3.19,   3.58,   2.31,   3.63,   3.64,   2.76,   4.30
19330707,   3.31,   0.20,   0.46,   0.47,  -0.01,   0.38,   0.27,   0.86,   0.13,  -0.84
19330708,   1.54,   0.40,  -0.35,   0.24,  -0.10,   0.11,   0.67,   0.88,   0.64,   1.33
19330710,   0.64,  -0.65,   0.25,  -0.20,  -0.05,   0.76,   0.11,  -0.87,  -0.20,  -0.36
19330711,  -0.93,  -0.50,  -0.75,  -0.98,  -0.52,   0.70,   0.16,  -0.33,   0.65,   1.99
19330712,  -0.16,   1.43,   0.54,   0.50,   0.94,   0.17,   0.88,   1.49,   2.14,   0.59
19330713,   1.17,   2.07,   1.56,   1.79,   2.26,   2.23,   2.18,   1.37,   1.23,   2.36
19330714,  -0.09,  -0.50,  -1.04,  -1.64,  -0.75,  -1.69,  -0.52,  -2.07,   0.70,  -0.52
19330715,   0.09,   0.30,   0.24,   0.89,   1.06,  -0.04,   1.38,   1.21,   1.21,   1.16
19330717,   3.05,   1.66,   1.85,   2.93,   2.65,   4.03,   2.70,   2.34,   3.83,   5.12
19330718,   0.33,  -0.24,   1.60,  -0.42,   0.25,   0.87,   0.03,   2.25,   0.50,  -0.03
19330719,  -3.46,  -5.19,  -4.20,  -4.36,  -3.76,  -5.75,  -5.44,  -5.74,  -6.89,  -7.68
19330720,  -9.46,  -9.85, -10.77,  -7.74,  -8.70,  -9.56,  -8.52,  -9.39, -10.18, -10.41
19330721, -16.47, -12.82, -13.71, -11.91, -14.00, -11.41, -13.61, -14.30, -15.09, -14.65
19330722,  -3.15,  -1.83,  -1.32,   0.06,  -0.47,  -0.76,  -2.94,  -2.17,  -2.93,  -2.90
19330724,  14.44,  13.32,  10.67,   9.16,   9.21,  11.92,  12.48,  15.28,  14.05,  15.65
19330725,   1.50,   1.32,   1.37,   0.52,   0.31,   0.12,   0.73,   2.11,   1.84,   3.35
19330726,   2.21,   1.17,   2.04,   2.57,   1.80,   1.66,   3.19,   3.58,   2.07,   2.97
19330727,   0.55,   0.68,   1.58,   1.82,   1.98,   1.58,   1.76,   1.55,   0.70,   1.83
19330728,  -2.08,  -0.80,  -2.41,  -1.26,  -2.10,  -2.63,  -1.34,  -1.23,  -1.16,  -1.59
19330731,  -4.66,  -5.96,  -5.95,  -6.25,  -5.13,  -7.50,  -7.34,  -7.65,  -7.30,  -7.55
19330801,   1.49,   1.36,   2.25,   2.49,   3.33,   4.65,   2.31,   4.77,   4.67,   5.50
19330802,   3.32,   3.18,   2.84,   2.97,   2.16,   3.46,   2.89,   2.75,   2.20,   2.17
19330803,  -0.89,   0.41,   0.03,  -1.02,   0.42,  -0.71,  -1.09,   0.23,   0.19,   0.27
19330804,  -2.88,  -2.38,  -2.56,  -2.12,  -3.02,  -3.42,  -2.76,  -2.54,  -3.15,  -2.34
19330807,  -2.59,  -0.38,  -0.87,  -1.74,  -1.64,  -0.32,  -1.13,  -1.66,  -1.88,  -1.19
19330808,   3.53,   2.79,   1.18,   2.45,   3.70,   1.82,   2.31,   3.38,   2.11,   1.61
19330809,   3.95,   3.12,   4.45,   4.46,   4.46,   4.82,   5.46,   6.95,   5.36,   4.90
19330810,   1.13,  -0.66,  -0.51,   0.33,  -0.02,  -0.58,   0.11,  -0.99,  -0.54,  -0.70
19330811,  -0.77,  -0.60,  -1.53,  -0.26,  -0.22,  -1.03,  -0.81,  -0.23,  -0.59,  -0.22
19330814,  -1.01,  -0.83,  -1.31,  -1.97,   0.08,  -1.51,  -1.67,  -2.43,  -1.79,  -1.93
19330815,   0.19,   0.74,   0.16,   0.56,  -0.21,   0.07,  -0.18,   0.61,   0.99,   0.45
19330816,  -3.21,  -2.43,  -2.71,  -3.24,  -3.18,  -3.12,  -3.46,  -3.35,  -3.83,  -3.01
19330817,   3.55,   5.04,   4.17,   5.64,   5.13,   4.53,   5.39,   4.48,   6.31,   4.58
19330818,  -0.08,  -0.03,   0.65,  -0.38,   0.22,  -0.98,  -0.83,  -0.42,  -1.01,  -0.11
19330821,   1.72,   1.27,   1.23,   1.00,   2.62,   2.25,   1.89,   2.10,   2.22,   1.48
19330822,   0.41,   0.21,   1.70,   1.45,   1.12,   1.32,   2.00,   1.04,   1.26,   0.93
19330823,  -2.07,  -0.61,  -0.56,   0.19,   0.04,   0.26,   0.06,   0.30,  -0.72,  -0.69
19330824,   0.12,  -0.74,   0.23,   0.20,  -0.14,   0.24,  -0.54,   0.19,  -0.21,  -0.75
19330825,   1.52,   2.21,   3.30,   4.50,   2.31,   3.49,   3.52,   4.45,   4.67,   2.64
19330828,   1.76,  -0.37,  -0.19,  -1.03,   0.39,  -0.07,  -0.71,  -0.06,   0.42,  -1.19
19330829,  -0.91,  -1.06,  -1.16,  -1.35,  -0.41,  -1.12,  -0.96,  -2.44,  -1.81,   2.86
19330830,  -1.06,  -0.39,  -0.08,  -0.41,  -1.07,  -0.57,  -0.96,  -0.03,  -0.76,  -1.46
19330831,   0.72,   0.33,  -0.35,  -0.52,  -0.36,   0.15,   0.42,   0.21,   0.94,   0.89
19330901,   1.34,   0.50,   1.10,   1.85,   1.85,   1.02,   0.93,   1.51,   1.16,   0.37
19330905,  -3.75,  -2.51,  -3.35,  -3.55,  -3.47,  -2.99,  -2.81,  -2.81,  -3.00,  -2.32
19330906,  -0.94,   0.04,  -2.52,  -0.30,  -0.81,  -1.15,  -1.28,  -1.37,  -2.43,  -1.73
19330907,  -0.46,  -0.61,   0.14,  -0.60,   0.15,  -0.33,  -1.20,  -0.85,  -1.60,  -0.67
19330908,   0.14,  -0.68,  -0.81,  -0.46,  -0.37,  -0.56,  -0.62,  -1.31,  -0.95,  -0.95
19330909,   0.06,  -0.29,   0.45,   0.16,   0.07,  -0.11,  -0.03,  -0.49,   0.64,   0.88
19330911,   1.45,   2.75,   3.18,   3.64,   3.29,   3.82,   3.92,   4.56,   4.70,   3.96
19330912,   0.23,   0.41,  -0.17,   0.51,   1.01,  -0.40,  -0.25,   0.49,   0.13,   0.16
19330913,   0.28,  -0.65,   0.19,   0.30,   0.60,   0.90,   0.15,   0.50,  -0.60,   1.30
19330914,  -0.50,   0.11,   0.06,   0.67,   0.66,   0.72,   1.83,   1.33,   2.56,  -0.18
19330915,  -4.01,  -2.66,  -1.20,  -2.41,  -2.96,  -3.25,  -2.97,  -3.57,  -3.36,  -2.44
19330916,   2.04,   1.11,   1.31,   1.18,   1.99,   1.82,   2.19,   2.10,   1.64,   3.99
19330918,  -1.81,  -1.61,  -0.44,   0.22,  -0.13,  -0.90,  -0.45,   0.71,  -0.08,  -1.01
19330919,  -0.94,  -1.08,  -0.02,   0.38,  -0.06,   0.11,  -0.62,  -1.91,  -0.45,  -0.34
19330920,  -2.63,  -1.80,  -3.06,  -2.53,  -2.78,  -2.61,  -2.59,  -2.32,  -3.09,  -3.37
19330921,  -5.32,  -5.63,  -5.98,  -6.59,  -8.55,  -7.63,  -7.95,  -9.43,  -9.03,  -9.74
19330922,   1.90,  -0.47,  -0.27,   0.07,   0.77,   1.22,   1.30,   1.40,   0.71,   1.56
19330923,   3.24,   1.64,   2.68,   3.56,   2.56,   2.39,   3.75,   1.78,   3.19,   5.19
19330925,  -1.28,  -0.20,  -2.45,  -2.17,  -1.80,  -2.15,  -2.58,  -2.18,  -2.51,  -3.05
19330926,   0.17,  -0.02,   0.01,   0.54,  -1.26,   0.16,  -0.39,  -0.82,  -0.61,  -1.13
19330927,  -3.69,  -3.33,  -3.20,  -3.78,  -4.16,  -4.70,  -5.66,  -5.56,  -4.61,  -5.11
19330928,  -1.28,   0.21,   0.98,   0.12,  -0.28,  -1.23,   0.32,   0.55,  -0.70,  -0.61
19330929,  -0.42,  -0.42,   0.44,  -0.60,  -0.32,   1.44,   0.82,   1.87,   0.67,   1.85
19330930,   0.17,   0.10,  -0.54,  -0.09,  -0.17,  -1.13,  -0.64,  -0.21,   0.44,  -0.85
19331002,   0.01,  -0.74,  -0.78,  -0.14,   0.17,  -0.30,  -1.09,  -0.91,  -0.93,  -0.73
19331003,  -0.63,   0.45,   0.61,  -0.73,  -0.46,   0.62,  -0.82,  -0.12,  -0.46,  -1.26
19331004,   4.17,   4.39,   4.99,   4.51,   6.22,   6.05,   5.39,   5.70,   8.65,   6.84
19331005,   0.10,   0.37,  -0.36,  -0.39,  -0.53,  -1.22,   0.29,  -0.95,  -0.44,   1.11
19331006,  -1.43,  -0.92,  -1.50,  -0.12,  -1.49,  -1.64,  -2.16,  -0.64,  -1.35,  -2.53
19331007,   0.24,   0.83,   1.09,   0.10,   0.40,   1.04,   0.01,   0.60,   0.36,   1.61
19331009,   1.58,   2.03,   1.30,   1.19,   1.02,   1.47,   2.37,   1.23,   1.43,   1.76
19331010,   1.00,  -0.04,   0.19,   0.38,  -0.47,  -1.05,  -0.33,  -0.52,  -0.66,  -0.84
19331011,   0.93,  -0.08,  -0.03,  -1.45,   0.72,  -0.15,   0.34,  -0.16,  -0.19,  -1.27
19331013,  -2.73,  -1.75,  -2.20,  -2.15,  -2.66,  -3.66,  -2.62,  -3.52,  -4.36,  -3.83
19331014,   0.43,  -0.69,  -0.47,  -1.22,  -1.15,  -0.95,  -1.19,  -0.80,  -2.02,  -0.61
19331016,  -5.04,  -5.87,  -6.43,  -5.91,  -7.40,  -8.29,  -6.52,  -7.17,  -7.48,  -7.97
19331017,   0.29,   0.31,   0.63,   1.51,   1.13,   0.82,   1.72,   0.10,  -0.33,   1.42
19331018,  -2.29,  -2.75,  -3.86,  -4.09,  -4.12,  -5.05,  -4.41,  -4.63,  -4.38,  -5.72
19331019,  -4.44,  -5.56,  -5.31,  -4.84,  -5.11,  -6.09,  -6.99,  -6.64,  -8.44,  -7.85
19331020,  -1.03,  -0.58,   1.77,   0.75,   1.03,   2.21,   3.10,  -0.11,   3.92,   5.15
19331021,  -0.03,  -0.88,  -1.53,  -0.49,  -1.88,  -1.97,  -1.80,  -0.38,  -2.21,  -2.98
19331023,   3.78,   4.45,   3.92,   4.03,   7.10,   9.21,   7.71,   6.49,   7.88,   8.98
19331024,   2.64,   3.70,   4.64,   3.70,   3.33,   4.13,   4.15,   3.54,   5.16,   5.79
19331025,   5.02,   3.21,   2.86,   4.76,   4.45,   4.79,   5.01,   4.34,   5.16,   5.26
19331026,  -2.65,  -0.08,  -1.67,  -2.32,  -1.80,  -1.71,  -1.88,  -0.16,  -2.74,  -1.41
19331027,   0.82,   1.08,   1.04,   1.44,   1.16,   0.84,   0.44,   0.63,   0.65,   1.04
19331028,   0.67,  -0.81,  -0.93,  -0.96,  -0.88,  -1.64,  -1.40,  -0.03,  -0.49,  -0.83
19331030,  -3.17,  -2.56,  -2.70,  -2.41,  -3.84,  -3.17,  -3.59,  -3.43,  -3.12,  -3.16
19331031,  -1.87,  -1.72,  -2.21,  -1.57,  -0.76,  -2.06,  -1.41,  -3.60,  -2.16,  -2.41
19331101,  -0.90,   0.23,  -0.05,   0.63,  -0.30,   0.91,   0.83,   2.19,   1.68,   1.16
19331102,   0.77,   2.05,   2.48,   1.90,   2.73,   1.28,   1.60,   0.54,   3.39,   1.18
19331103,   2.82,   3.49,   1.74,   2.81,   2.28,   1.88,   2.94,   1.98,   2.35,   3.38
19331104,   0.90,   0.30,   1.35,   0.70,  -0.39,   0.36,   2.21,   0.81,  -0.13,   2.50
19331106,  -0.84,  -0.78,  -0.75,  -1.02,  -1.30,  -0.94,  -1.37,  -0.59,  -0.97,  -0.47
19331108,   1.99,   2.02,   2.63,   2.28,   3.43,   4.04,   3.72,   3.20,   3.69,   2.25
19331109,   2.74,   1.20,   2.96,   2.43,   3.20,   2.17,   2.59,   4.03,   2.35,   3.42
19331110,  -1.07,  -2.02,  -1.97,  -1.50,  -2.24,  -1.75,  -1.54,  -2.08,  -2.06,  -3.27
19331111,  -0.54,   0.50,   0.40,   0.75,   0.00,   0.95,   1.24,   1.16,   0.35,   3.51
19331113,   0.31,  -0.32,   0.90,   0.34,   0.19,  -0.09,  -0.20,  -0.19,   2.79,   0.68
19331114,  -0.93,  -1.29,  -0.14,  -0.45,  -0.39,  -0.07,   0.03,  -1.05,  -0.85,   0.26
19331115,  -1.37,  -1.14,  -0.70,  -1.00,  -1.30,  -1.55,  -1.48,  -3.92,  -1.43,  -2.38
19331116,   1.26,   2.85,   3.13,   2.68,   4.31,   3.92,   2.94,   4.33,   3.34,   2.73
19331117,  -0.83,   0.41,   0.72,  -1.26,  -1.00,   0.10,   0.69,  -0.03,   0.70,   0.18
19331118,  -0.74,   0.24,   0.02,   0.82,   0.48,  -0.17,  -0.05,   0.56,  -0.36,   0.35
19331120,   1.43,   2.18,   2.02,   2.47,   1.67,   1.30,   1.48,   1.61,   2.57,   1.42
19331121,  -1.09,  -0.15,  -0.22,  -0.05,   0.06,   0.72,   0.87,   0.66,  -0.53,  -0.65
19331122,  -0.19,  -1.77,  -0.96,  -0.56,  -1.45,   0.31,  -0.77,  -2.45,  -1.74,  -2.00
19331123,  -0.60,  -1.51,  -1.06,  -2.25,  -2.81,  -2.11,  -1.42,  -2.19,  -2.21,  -1.93
19331124,   4.02,   2.32,   1.93,   0.96,   0.77,   1.86,   1.48,   1.06,   2.45,   0.56
19331125,   1.17,  -0.29,  -0.03,  -0.07,   1.31,  -0.69,  -0.02,   0.20,  -0.01,  -0.09
19331127,  -2.81,  -2.94,  -2.71,  -3.29,  -3.14,  -3.03,  -3.52,  -3.11,  -3.30,  -4.21
19331128,  -1.19,   0.01,  -1.27,   0.80,  -0.18,  -0.96,  -1.63,  -0.26,  -0.44,  -0.67
19331129,   0.55,   0.43,   1.28,   0.79,   1.10,   2.03,   2.22,   1.43,   1.76,   2.47
19331201,   0.50,   0.54,  -0.47,   0.22,   0.69,   1.14,   1.02,   0.32,   0.86,   0.71
19331202,  -1.21,  -0.33,   0.19,   0.64,   0.22,  -0.22,   0.20,  -0.78,   0.35,  -0.62
19331204,   0.28,  -0.32,  -0.54,  -0.39,   0.01,  -1.34,  -0.49,  -0.68,   0.12,   0.22
19331205,   1.53,   2.85,   3.00,   2.24,   3.26,   3.38,   3.67,   2.87,   3.00,   3.81
19331206,   1.13,   0.13,   0.33,   0.04,   0.12,   0.13,   0.01,   0.31,  -0.29,   0.03
19331207,   1.00,   0.57,   1.50,   0.73,   1.02,   1.76,   1.36,   1.55,   0.76,   1.31
